n,Factorial,Cube,Natural Log (ln),Log Base 2 (lg),Exponential (e^n),Power of 2 (2^n),ln(ln(n)),lg(lg(n)),n*lg(n),n*2^n
89,N/A,7.05e+005,4.49e+000,6.48e+000,N/A,N/A,1.50e+000,2.70e+000,5.76e+002,N/A
90,N/A,7.29e+005,4.50e+000,6.49e+000,N/A,N/A,1.50e+000,2.70e+000,5.84e+002,N/A
91,N/A,7.54e+005,4.51e+000,6.51e+000,N/A,N/A,1.51e+000,2.70e+000,5.92e+002,N/A
92,N/A,7.79e+005,4.52e+000,6.52e+000,N/A,N/A,1.51e+000,2.71e+000,6.00e+002,N/A
93,N/A,8.04e+005,4.53e+000,6.54e+000,N/A,N/A,1.51e+000,2.71e+000,6.08e+002,N/A
94,N/A,8.31e+005,4.54e+000,6.55e+000,N/A,N/A,1.51e+000,2.71e+000,6.16e+002,N/A
95,N/A,8.57e+005,4.55e+000,6.57e+000,N/A,N/A,1.52e+000,2.72e+000,6.24e+002,N/A
96,N/A,8.85e+005,4.56e+000,6.58e+000,N/A,N/A,1.52e+000,2.72e+000,6.32e+002,N/A
97,N/A,9.13e+005,4.57e+000,6.60e+000,N/A,N/A,1.52e+000,2.72e+000,6.40e+002,N/A
98,N/A,9.41e+005,4.58e+000,6.61e+000,N/A,N/A,1.52e+000,2.73e+000,6.48e+002,N/A
99,N/A,9.70e+005,4.60e+000,6.63e+000,N/A,N/A,1.52e+000,2.73e+000,6.56e+002,N/A
100,N/A,1.00e+006,4.61e+000,6.64e+000,N/A,N/A,1.53e+000,2.73e+000,6.64e+002,N/A
